Layer Name,Accuracy,Precision,Recall,F1,Processing Time,Processing Time (HOurs)
Layer_0_2_4_6_8_10_Skipped,0.2089728453364817,0.1610099435116804,0.2089728453364817,0.16153636334027707,6672.350840806961,1:51:12.350841
Layer_0_2_5_8_9_10_Skipped,0.20070838252656434,0.18759108306642253,0.20070838252656434,0.13886252597749152,6678.060810089111,1:51:18.060810
Layer_1_3_4_6_7_10_Skipped,0.20365997638724911,0.08438480182492158,0.20365997638724911,0.07425228298232316,6697.7900059223175,1:51:37.790006
Layer_1_3_5_7_9_11_Skipped,0.20365997638724911,0.04147738598205487,0.20365997638724911,0.06891877572692588,6702.3267567157745,1:51:42.326757
Layer_0_3_6_8_9_10_Skipped,0.2012987012987013,0.09643895327024869,0.2012987012987013,0.1176232327986569,6710.654392004013,1:51:50.654392
Full_Pretrained,0.1959858323494687,0.07726197275026515,0.1959858323494687,0.10852694772918663,16646.342352867126,4:37:26.342353
